datetime;5_werkdagen_07-16_uur;5_werkdagen_07-17_uur;5_werkdagen_07-18_uur;5_werkdagen_07-19_uur;5_werkdagen_08-17_uur;5_werkdagen_08-18_uur;5_werkdagen_08-19_uur;6_werkdagen_07-16_uur;6_werkdagen_07-17_uur;6_werkdagen_07-18_uur;6_werkdagen_07-19_uur;6_werkdagen_08-17_uur;6_werkdagen_08-18_uur;6_werkdagen_08-19_uur;7_werkdagen_07-16_uur;7_werkdagen_07-17_uur;7_werkdagen_07-18_uur;7_werkdagen_07-19_uur;7_werkdagen_08-17_uur;7_werkdagen_08-18_uur;7_werkdagen_08-19_uur
11-07-2019 10:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
11-07-2019 11:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
11-07-2019 12:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
11-07-2019 13:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
11-07-2019 14:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
11-07-2019 15:00;0;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
11-07-2019 16:00;0;0;0,000348311;0,000319285;0;0,000383142;0,000348311;0;0;0,000290444;0,000266241;0;0,000319489;0,000290444;0;0;0,000249066;0,000228311;0;0,000273973;0,000249066
11-07-2019 17:00;0;0;0;0,000319285;0;0;0,000348311;0;0;0;0,000266241;0;0;0,000290444;0;0;0;0,000228311;0;0;0,000249066
11-07-2019 18:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11-07-2019 19:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11-07-2019 20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11-07-2019 21:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11-07-2019 22:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11-07-2019 23:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12-07-2019 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12-07-2019 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12-07-2019 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12-07-2019 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12-07-2019 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12-07-2019 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12-07-2019 06:00;0,000425713;0,000383142;0,000348311;0,000319285;0;0;0;0,000354988;0,000319489;0,000290444;0,000266241;0;0;0;0,000304414;0,000273973;0,000249066;0,000228311;0;0;0
12-07-2019 07:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
12-07-2019 08:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
12-07-2019 09:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
12-07-2019 10:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
12-07-2019 11:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
12-07-2019 12:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
12-07-2019 13:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
12-07-2019 14:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
12-07-2019 15:00;0;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
12-07-2019 16:00;0;0;0,000348311;0,000319285;0;0,000383142;0,000348311;0;0;0,000290444;0,000266241;0;0,000319489;0,000290444;0;0;0,000249066;0,000228311;0;0,000273973;0,000249066
12-07-2019 17:00;0;0;0;0,000319285;0;0;0,000348311;0;0;0;0,000266241;0;0;0,000290444;0;0;0;0,000228311;0;0;0,000249066
12-07-2019 18:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12-07-2019 19:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12-07-2019 20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12-07-2019 21:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12-07-2019 22:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12-07-2019 23:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13-07-2019 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13-07-2019 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13-07-2019 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13-07-2019 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13-07-2019 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13-07-2019 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13-07-2019 06:00;0;0;0;0;0;0;0;0,000354988;0,000319489;0,000290444;0,000266241;0;0;0;0,000304414;0,000273973;0,000249066;0,000228311;0;0;0
13-07-2019 07:00;0;0;0;0;0;0;0;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
13-07-2019 08:00;0;0;0;0;0;0;0;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
13-07-2019 09:00;0;0;0;0;0;0;0;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
13-07-2019 10:00;0;0;0;0;0;0;0;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
13-07-2019 11:00;0;0;0;0;0;0;0;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
13-07-2019 12:00;0;0;0;0;0;0;0;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
13-07-2019 13:00;0;0;0;0;0;0;0;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
13-07-2019 14:00;0;0;0;0;0;0;0;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
13-07-2019 15:00;0;0;0;0;0;0;0;0;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
13-07-2019 16:00;0;0;0;0;0;0;0;0;0;0,000290444;0,000266241;0;0,000319489;0,000290444;0;0;0,000249066;0,000228311;0;0,000273973;0,000249066
13-07-2019 17:00;0;0;0;0;0;0;0;0;0;0;0,000266241;0;0;0,000290444;0;0;0;0,000228311;0;0;0,000249066
13-07-2019 18:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13-07-2019 19:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13-07-2019 20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13-07-2019 21:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13-07-2019 22:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13-07-2019 23:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14-07-2019 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14-07-2019 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14-07-2019 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14-07-2019 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14-07-2019 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14-07-2019 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14-07-2019 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000304414;0,000273973;0,000249066;0,000228311;0;0;0
14-07-2019 07:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
14-07-2019 08:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
14-07-2019 09:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
14-07-2019 10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
14-07-2019 11:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
14-07-2019 12:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
14-07-2019 13:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
14-07-2019 14:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
14-07-2019 15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
14-07-2019 16:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000249066;0,000228311;0;0,000273973;0,000249066
14-07-2019 17:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000228311;0;0;0,000249066
14-07-2019 18:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14-07-2019 19:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14-07-2019 20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14-07-2019 21:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14-07-2019 22:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14-07-2019 23:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15-07-2019 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15-07-2019 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15-07-2019 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15-07-2019 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15-07-2019 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15-07-2019 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15-07-2019 06:00;0,000425713;0,000383142;0,000348311;0,000319285;0;0;0;0,000354988;0,000319489;0,000290444;0,000266241;0;0;0;0,000304414;0,000273973;0,000249066;0,000228311;0;0;0
15-07-2019 07:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
15-07-2019 08:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
15-07-2019 09:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
15-07-2019 10:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
15-07-2019 11:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
15-07-2019 12:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
15-07-2019 13:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
15-07-2019 14:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
15-07-2019 15:00;0;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
15-07-2019 16:00;0;0;0,000348311;0,000319285;0;0,000383142;0,000348311;0;0;0,000290444;0,000266241;0;0,000319489;0,000290444;0;0;0,000249066;0,000228311;0;0,000273973;0,000249066
15-07-2019 17:00;0;0;0;0,000319285;0;0;0,000348311;0;0;0;0,000266241;0;0;0,000290444;0;0;0;0,000228311;0;0;0,000249066
15-07-2019 18:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15-07-2019 19:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15-07-2019 20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15-07-2019 21:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15-07-2019 22:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15-07-2019 23:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16-07-2019 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16-07-2019 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16-07-2019 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16-07-2019 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16-07-2019 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16-07-2019 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16-07-2019 06:00;0,000425713;0,000383142;0,000348311;0,000319285;0;0;0;0,000354988;0,000319489;0,000290444;0,000266241;0;0;0;0,000304414;0,000273973;0,000249066;0,000228311;0;0;0
16-07-2019 07:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
16-07-2019 08:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
16-07-2019 09:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
16-07-2019 10:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
16-07-2019 11:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
16-07-2019 12:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
16-07-2019 13:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
16-07-2019 14:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
16-07-2019 15:00;0;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
16-07-2019 16:00;0;0;0,000348311;0,000319285;0;0,000383142;0,000348311;0;0;0,000290444;0,000266241;0;0,000319489;0,000290444;0;0;0,000249066;0,000228311;0;0,000273973;0,000249066
16-07-2019 17:00;0;0;0;0,000319285;0;0;0,000348311;0;0;0;0,000266241;0;0;0,000290444;0;0;0;0,000228311;0;0;0,000249066
16-07-2019 18:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16-07-2019 19:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16-07-2019 20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16-07-2019 21:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16-07-2019 22:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16-07-2019 23:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17-07-2019 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17-07-2019 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17-07-2019 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17-07-2019 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17-07-2019 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17-07-2019 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17-07-2019 06:00;0,000425713;0,000383142;0,000348311;0,000319285;0;0;0;0,000354988;0,000319489;0,000290444;0,000266241;0;0;0;0,000304414;0,000273973;0,000249066;0,000228311;0;0;0
17-07-2019 07:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
17-07-2019 08:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
17-07-2019 09:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
17-07-2019 10:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
17-07-2019 11:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
17-07-2019 12:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
17-07-2019 13:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
17-07-2019 14:00;0,000425713;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0,000354988;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0,000304414;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
17-07-2019 15:00;0;0,000383142;0,000348311;0,000319285;0,000425713;0,000383142;0,000348311;0;0,000319489;0,000290444;0,000266241;0,000354988;0,000319489;0,000290444;0;0,000273973;0,000249066;0,000228311;0,000304414;0,000273973;0,000249066
17-07-2019 16:00;0;0;0,000348311;0,000319285;0;0,000383142;0,000348311;0;0;0,000290444;0,000266241;0;0,000319489;0,000290444;0;0;0,000249066;0,000228311;0;0,000273973;0,000249066
17-07-2019 17:00;0;0;0;0,000319285;0;0;0,000348311;0;0;0;0,000266241;0;0;0,000290444;0;0;0;0,000228311;0;0;0,000249066
17-07-2019 18:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17-07-2019 19:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17-07-2019 20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17-07-2019 21:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17-07-2019 22:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17-07-2019 23:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18-07-2019 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18-07-2019 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18-07-2019 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18-07-2019 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18-07-2019 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18-07-2019 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18-07-2019 06:00;0,000425713;0,000383142;0,000348311;0,000319285;0;0;0;0,000354988;0,000319489;0,000290444;0,000266241;0;0;0;0,000304414;0,000273973;0,000249066;0,000228311;0;0;0
